,music_names,labels,chroma_rms_mean,chroma_rms_var,chroma_stft_mean,chroma_stft_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc_mean_1,mfcc_var_1,mfcc_mean_2,mfcc_var_2,mfcc_mean_3,mfcc_var_3,mfcc_mean_4,mfcc_var_4,mfcc_mean_5,mfcc_var_5,mfcc_mean_6,mfcc_var_6,mfcc_mean_7,mfcc_var_7,mfcc_mean_8,mfcc_var_8,mfcc_mean_9,mfcc_var_9,mfcc_mean_10,mfcc_var_10,mfcc_mean_11,mfcc_var_11,mfcc_mean_12,mfcc_var_12,mfcc_mean_13,mfcc_var_13,mfcc_mean_14,mfcc_var_14,mfcc_mean_15,mfcc_var_15,mfcc_mean_16,mfcc_var_16,mfcc_mean_17,mfcc_var_17,mfcc_mean_18,mfcc_var_18,mfcc_mean_19,mfcc_var_19,mfcc_mean_20,mfcc_var_20
0,Tell Me That I Can't (Clean) - NEFFEX.mp3,Angry,0.33617002,0.030709388,0.5041312,0.08468127,2118.4281003619953,975642.2004337144,2458.834163132465,458768.52742817084,4689.821641290151,5642526.838673564,0.06877169299051858,0.0026651598222256004,-0.00025664316,0.06600185,-0.0005866146,0.040596,92.28515625,-46.81357,7079.514,107.154,1237.2899,4.408359,948.31366,6.6686287,257.06506,7.9525476,234.45811,4.1309843,135.42596,0.78112966,123.65542,10.04594,131.02142,-4.494266,100.49729,7.799704,100.27485,-1.1328977,72.01242,7.260375,75.99882,1.4105352,48.413208,5.3601127,55.607662,-1.3546999,40.92879,4.1364264,44.90621,-0.06539265,43.347076,2.6550899,49.822586,-3.5874264,39.15962,-0.36236373,44.010452
1,It's Only Worth It If You Work For It (Clean) - NEFFEX.mp3,Angry,0.22999558,0.01178692,0.38238966,0.09631659,1986.5435654902044,988403.8323313695,2333.3052303845657,440951.150292523,4103.125188963332,5342773.106601918,0.06564132643188854,0.0020405694935605617,-4.3774282e-05,0.043378543,-0.00018938941,0.009588229,86.1328125,-96.75817,5368.8555,108.54622,1714.5284,5.2377515,715.77264,22.326096,598.6215,18.148344,262.699,-6.667978,286.32153,-0.49412352,175.0011,12.532005,147.71811,-5.68603,204.25026,7.2973723,116.93673,-5.6141315,117.224014,-2.5361598,109.835526,-5.092009,89.71043,-2.335804,83.35869,-7.778099,64.05876,-1.1041815,53.218056,-9.090735,58.107212,-4.0728283,67.38003,-9.011088,55.313988,-6.3836675,83.276054
2,Statement (Clean) - NEFFEX.mp3,Angry,0.25462806,0.014234875,0.4354608,0.08656157,2186.2804811922647,775423.9444127388,2490.128771775785,398108.44340422086,4934.761826837026,4207436.105917911,0.07141869134578173,0.0018555866934571248,1.6343183e-05,0.039406154,-0.00022934216,0.015270645,95.703125,-55.21226,8532.939,100.54626,1409.1887,8.644094,314.46915,24.967285,170.71281,7.9148684,141.22403,11.3389015,89.560646,-2.3029583,83.08915,10.834106,72.81823,5.130857,54.616257,4.089774,73.86068,2.1534348,45.682037,10.038732,51.310524,0.5331729,43.223305,4.028491,37.707756,3.0615578,35.326565,1.8956233,31.03313,-6.536465,38.98559,0.90142787,35.720013,-3.552503,30.856724,-3.0574286,32.160133
3,No Turning Back (Clean) - NEFFEX.mp3,Angry,0.1944012,0.017006325,0.35777757,0.10419339,1768.1574610936514,1897606.4886469953,2050.1208202205903,832653.3441771893,3579.6950207406153,7649183.852305998,0.06408048930921052,0.0070277673036166005,3.393736e-05,0.028971596,-0.00019118762,0.018845169,117.45383522727273,-179.8361,14965.941,102.82831,2404.848,16.45046,1117.4209,24.010141,635.12286,23.70081,306.91693,0.6202735,360.71835,1.8857276,134.43881,3.3496425,162.80786,-2.9385781,146.43494,3.0312185,130.86844,-4.3106027,92.38253,1.1680243,81.024414,-3.6694121,71.03607,-0.58825475,73.00098,-2.3315723,61.669346,-0.41721573,66.67259,-10.211936,80.4955,-5.4956174,131.98618,-7.060772,68.88149,-1.8431147,63.655922
4,No Turning Back (Instrumental) - NEFFEX.mp3,Angry,0.17212164,0.01936675,0.3217832,0.11169358,795.1017786131564,338272.59687702503,1067.885933325126,307772.6835005694,1568.9905125290247,1916282.0004953078,0.0268781443498452,0.0005619808641421705,-5.8279278e-05,0.028195655,-0.00018071487,0.016139178,117.45383522727273,-279.86816,11787.638,116.79032,1250.8525,14.04741,1419.1318,40.96964,286.8626,31.280098,122.9959,11.4976845,173.59462,4.6399326,85.694756,2.0676894,122.93922,2.8969786,60.224,1.4537935,79.9872,0.936626,38.476143,2.8893425,48.11557,-3.4461799,51.215942,-0.14649269,48.551094,2.0980625,44.916283,-1.4466174,66.5323,-8.476983,83.030464,-10.983328,101.89164,-3.8651738,68.95527,-2.467369,56.11706
5,Free Me - NEFFEX.mp3,Angry,0.25600767,0.020032644,0.36908928,0.09617762,2182.2674139135042,991240.0548486398,2369.4059410957516,348735.5206051265,4566.18905554615,4082909.9347551274,0.08309511355940402,0.0041613319892478086,1.2268513e-05,0.06209399,-0.00057725835,0.009115243,151.99908088235293,-97.96933,11259.077,86.39189,1495.848,-6.6862984,1124.5698,26.715067,441.69925,17.114918,453.26413,2.1537569,234.56485,2.4362574,169.88557,6.361223,179.21771,-0.57000697,206.15364,-0.67282706,220.38141,-6.9411283,112.232346,0.6857562,72.40193,-4.096474,82.60645,0.2949438,141.27554,-1.9648666,86.03495,6.1260934,56.5279,-7.571126,96.57192,-3.0321283,201.16849,-6.619907,73.71429,-1.4763231,94.62042
6,Electro Fight - Kwon.mp3,Angry,0.19608022,0.015476858,0.5772128,0.06918189,1775.0611524687029,938884.2207271684,2040.2552489744655,365848.0460455391,3739.1190567252806,4462437.527546722,0.06921726852747678,0.0027250386774182876,-2.4366389e-06,0.0053458437,-2.0029236e-06,0.039646603,123.046875,-140.56369,10693.723,102.37326,1707.1283,-1.500744,869.7955,32.354324,401.98062,-7.5870366,532.541,5.8545246,296.14157,-9.085105,312.30032,3.2240314,224.35376,-3.9626355,215.56049,0.9801967,192.54947,-1.9322858,153.16397,0.40949252,142.68085,-5.0916862,128.93082,-2.677392,100.973816,-8.02443,117.24033,-2.1424751,56.34657,-2.9923782,64.494705,4.6876163,36.247246,2.4552977,40.122173,3.968861,32.947968
7,Tuff Data - Vans in Japan.mp3,Angry,0.24290754,0.012911108,0.38010743,0.082965136,2426.7774500051273,544068.0588197523,2744.4660524095193,49187.782619727404,5685.873951631434,1547034.4101853548,0.06825657894736842,0.003026835456507513,4.8131307e-05,0.04081102,0.00067423313,0.015431105,75.99954044117646,-58.339264,1475.9572,80.64137,704.05536,12.899202,164.4962,23.761154,135.69592,1.3386228,66.76179,12.357412,71.1374,0.11157293,80.246605,6.2095475,86.35793,-2.0397856,74.29415,5.106253,53.88237,-1.4797144,45.50933,3.7480526,45.968357,-2.0454943,59.713757,3.1553383,63.389862,-1.7333819,53.446003,2.7620547,36.68291,-3.2189627,35.91704,3.5438826,37.945038,-2.1215615,39.962658,2.1918647,29.105423
8,Grey Flannel - Vans in Japan.mp3,Angry,0.20781519,0.013898701,0.50863624,0.078312784,2336.386368473766,213846.22346768132,2594.149795152126,33465.600731890045,5304.926255170037,800388.279946657,0.08474929856811146,0.0009560281048510826,1.497091e-05,0.017690044,0.0005097938,0.019603213,83.35433467741936,-45.19969,2187.3628,92.39044,224.78955,-0.96728176,133.88326,19.384865,164.69952,-2.9971323,80.906044,8.918535,87.60067,-3.562627,74.12424,4.00147,61.9481,-4.427924,47.05539,3.4816682,31.618464,-1.0683731,32.754044,4.9459977,34.171783,-1.5919093,33.662468,1.9748154,27.259455,-2.4885094,27.971876,4.610967,27.473303,-1.9890786,25.486105,3.475265,22.192255,-3.1033595,22.111439,0.8431219,18.605625
9,Raging Streets - SefChol.mp3,Angry,0.21420567,0.005534619,0.35131153,0.09443456,1737.0388672087113,278842.10102915415,2382.041743007725,93702.73864259708,4063.942092564822,1500100.5148066485,0.04001676482681889,0.0018868882415699804,3.077686e-05,0.043783516,3.7002956e-05,0.0024127518,117.45383522727273,-105.952896,7029.1763,109.66972,592.1417,9.651465,172.22682,26.262959,63.95017,10.9302435,57.05199,16.19957,50.17308,0.5899771,49.990883,9.648647,32.927944,0.73266023,29.576689,6.641639,30.930138,-1.00881,21.853252,5.37661,30.127522,-0.35851425,21.320814,5.953209,18.565111,-0.619192,22.268112,4.2719336,19.12827,-3.2035663,24.846205,1.7285262,21.465136,-4.921518,23.71709,0.3832337,26.608816
